"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Ajax Dental Clinic HC II","z0WgPYIyThL","""""","Functional","HC II","PFP","Private"
"Eastern Region","Teso","Kapelebyong District","Acowa Subcounty","Ajeleik HC II","arSaR3TWlZL","{""type"": ""Point"", ""coordinates"": [33.85938, 2.04775]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Ngora District","Mukura Subcounty","Ajeluk HC III","X8l6y8IN4z9","{""type"": ""Point"", ""coordinates"": [33.82414, 1.54869]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Itirikwa Subcounty","Ajeri HC II","OLccBxRpUXk","{""type"": ""Point"", ""coordinates"": [31.75971, 3.17313]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Arua District","Ajia Subcounty","Ajia HC III","apgOmUgDNge","{""type"": ""Point"", ""coordinates"": [31.02721, 2.91913]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Maracha District","Paranga Subcounty","Ajikoro HC II","oexw63IOiAD","{""type"": ""Point"", ""coordinates"": [30.91491, 3.33926]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Dzaipi Subcounty","Ajugopi HC II","EP9BtvXaTsa","{""type"": ""Point"", ""coordinates"": [31.91107, 3.44563]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bukedi","Tororo District","Akadot Subcounty","","mghDXFb9O3A","""""","","","",""
"Northern Region","Lango","Kwania District","Abongomola Subcounty","Akali HC II","Vk97ZCCRqHI","{""type"": ""Point"", ""coordinates"": [32.82481, 2.08447]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kole District","Akalo Subcounty","Akalo HC III","h9Jydxolx2q","{""type"": ""Point"", ""coordinates"": [32.83888, 2.14899]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Jinja District","Butagaya Subcounty","Akambye Health","XqLaFT52ll0","""""","Non-Functional","Clinic","PFP","CBO"
"Central Region","Kampala","Kampala District","Rubaga Division","Aka Medical Care Centre HC II","tNZbbbWZuc9","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Lira District","Ogur Subcounty","Akangi HC II","ApVyWDny4Sz","{""type"": ""Point"", ""coordinates"": [32.97584, 2.3889]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Makindye Division","Akankwasa Dental Clinic HC II","fY7C3FiX3rP","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","A & K Clinic HC II","g44JyPVuZ8h","""""","Non-Functional","HC II","PFP","Private"
"Eastern Region","Teso","Amuria District","Akeriau Subcounty","Akeriau HC III","lGdKcxEQz4E","{""type"": ""Point"", ""coordinates"": [33.38839, 2.03784]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Katakwi District","Ongongoja Subcounty","Aketa HC III","fFMFDu21aWq","{""type"": ""Point"", ""coordinates"": [33.95066, 2.11533]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Lira District","Adekokwok Subcounty","Akia St. Francis HC II","XLZVJib9KN7","{""type"": ""Point"", ""coordinates"": [32.96746, 2.23549]}","Functional","HC II","PNFP","UCMB"
"Eastern Region","Teso","Kumi District","Ongino Subcounty","Akide HC II","Kf1o8kvbbaS","{""type"": ""Point"", ""coordinates"": [34.04329, 1.59938]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Kitgum District","Orom Subcounty","Akilok HC II","GHx4dLfIox3","{""type"": ""Point"", ""coordinates"": [33.48407, 3.55495]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Madi-Okollo District","Okollo Subcounty","Akino HC II","J030lvmEXQ2","{""type"": ""Point"", ""coordinates"": [31.18708, 2.7341]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Katakwi District","Katakwi Subcounty","Akoboi HC II","usd4FQttAvy","{""type"": ""Point"", ""coordinates"": [33.9491, 1.853975]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Serere District","Olio Subcounty","Akoboi (Serere) HC II","xEN68HYkacl","{""type"": ""Point"", ""coordinates"": [33.41865, 1.57369]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Apac District","Akokoro Subcounty","Akokoro HC III","rjOHz4O83zh","{""type"": ""Point"", ""coordinates"": [32.39149, 1.69949]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Akugoba Domecillian HC II","TAljihCTOJH","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Akugoba HC III","ErYS7SJW4ZT","""""","Functional","HC III","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","Akugoba Medical Clinic","lhSlFHmI1yT","""""","","HC II","PFP","Private"
"Northern Region","Acholi","Kitgum District","Lagoro Subcounty","Akuna Laber HC III","aWMoXZucGiV","{""type"": ""Point"", ""coordinates"": [33.096815, 3.207657]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Bukedea District","Bukedea Subcounty","Akuoro HC III","igQEGimwVo2","""""","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Alebtong District","Akura Subcounty","Akura HC II","zkvmBd2YoxG","{""type"": ""Point"", ""coordinates"": [33.10387, 2.35375]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Katakwi District","Toroma Subcounty","Akurao HC II","go8pa2yrjbk","{""type"": ""Point"", ""coordinates"": [33.95212, 1.68467]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Kitgum District","Orom Subcounty","Akurumor HC II","QgpawnbKpCj","""""","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Iceme Subcounty","Akwangi HC II","z035qUkEmvF","{""type"": ""Point"", ""coordinates"": [32.58937, 2.39554]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Akwata Empora Clinic HC II","JqnkRzo5i03","""""","Functional","HC II","PFP","Private"
"Western Region","Bunyoro","Kagadi District","Mabaale Town Council","Akwehaire Maternity Clinic","LM1WpLYwQXt","""""","Functional","Clinic","PFP","Private"
"Northern Region","Acholi","Lamwo District","Palabek Ogili Subcounty","Akworo HC II","pkhPSHZSnr3","""""","Functional","HC II","GOV","UNHCR"
"Northern Region","West Nile","Nebbi District","Akworo Subcounty","Akworo HC III","gBiYU9OJgsv","{""type"": ""Point"", ""coordinates"": [31.220406, 2.246568]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Apac District","Ibuje Subcounty","Alado HC II","CVoCN3sspyt","{""type"": ""Point"", ""coordinates"": [32.43298, 1.8996]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Amudat District","Amudat Subcounty","Alakas HC II","etUWDKFTBfq","{""type"": ""Point"", ""coordinates"": [34.90565, 1.84317]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Zombo District","Alangi Subcounty","Alangi HC III","apEUhKfLxjY","{""type"": ""Point"", ""coordinates"": [30.80899, 2.58405]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Otuke District","Alango Subcounty","Alango HC II","YkLkGLk2Xxz","{""type"": ""Point"", ""coordinates"": [33.18819, 2.46657]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Alebtong District","Abako Subcounty","Alanyi HC III","pk373UmcJEF","{""type"": ""Point"", ""coordinates"": [33.26303, 2.13244]}","Functional","HC III","PNFP","UCMB"
"Northern Region","Lango","Oyam District","Acaba Subcounty","ALAO DRUG SHOP - Oyam","ENFLbDDrMqD","""""","Functional","Drug Shop","",""
"Northern Region","Lango","Oyam District","Acaba Subcounty","Alao HC II","ZQ98MZqjZIl","{""type"": ""Point"", ""coordinates"": [32.53993, 2.3508]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Dokolo District","Bata Subcounty","Alapata HC II","qBVBH0yzctn","""""","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Alebtong District","Alebtong Town Council","Alebtong HC IV","RdmsO9Kftg9","{""type"": ""Point"", ""coordinates"": [33.23659, 2.26365]}","Functional","HC IV","GOV","MOH"
"Northern Region","Lango","Alebtong District","Alebtong Town Council","Alebtong Prison HC II","CDfpt3qoQui","""""","Functional","HC II","","UPS"
"Northern Region","Lango","Alebtong District","Aloi Subcounty","Alelluyah Joint Maternity Clinic","taqtXzzxCQm","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Amolatar District","Amolatar Town Council","Alemere Medical Aid HC II","OMRlmYUqpLa","{""type"": ""Point"", ""coordinates"": [32.81519, 1.63635]}","Functional","HC II","PNFP","NGO"
"Western Region","Tooro","Kabarole District","Kiko Town Council","Alenda Medical Centre","MXms6SQUOrd","""""","Functional","HC II","PNFP","CBO"
"Northern Region","Lango","Apac District","Ibuje Subcounty","Alenga HC III","eR77udlIWIM","{""type"": ""Point"", ""coordinates"": [32.34985, 1.85142]}","Functional","HC III","PNFP","UCMB"
"Eastern Region","Teso","Amuria District","Willa Subcounty","Alere (Amuria) HC II","yV1l7X3U9ZG","{""type"": ""Point"", ""coordinates"": [33.6485, 2.16567]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Pachara Subcounty","Alere HC II","COA705FeCbj","{""type"": ""Point"", ""coordinates"": [31.757133, 3.462641]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Abim District","Alerek Subcounty","Alerek HC III","RLWAwgTDjSJ","{""type"": ""Point"", ""coordinates"": [33.73088, 2.95626]}","Functional","HC III","GOV","MOH"
"Northern Region","Acholi","Nwoya District","Alero Subcounty","Alero HC III","EPyMwPkmKPx","{""type"": ""Point"", ""coordinates"": [32.02553, 2.68719]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Alexandra Medical Centre","ALhT5C3QAHi","""""","","","",""
"Central Region","South Central","Wakiso District","Massajja Division","Alexas Medical Centre HC III","RKLk7ZoxUHb","""""","","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Alfa Dental Clinic","z8i4QbSwZDk","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Buikwe District","Central Division (Njeru MC)","Al-Hijira HC III","SYUCRivGRom","""""","Functional","HC III","PNFP","UMMB"
"Eastern Region","Teso","Katakwi District","Katakwi Subcounty","Aliakamer HC III","QdaoAlMf1Tz","{""type"": ""Point"", ""coordinates"": [33.93285, 1.94648]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Kululu Subcounty","Aliapi HC II","BCZsCRvBWTa","{""type"": ""Point"", ""coordinates"": [31.25574, 3.42585]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Obongi District","Aliba Subcounty","Aliba HC III","AZRfSZ46cbp","{""type"": ""Point"", ""coordinates"": [31.53118, 3.22009]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Nakawa Division","Ali Care Medical Centre","zAeIWjlLZBO","""""","","Clinic","",""
"Northern Region","Lango","Lira District","Amach Subcounty","Alik HC II","uw6cL0Wrx8k","{""type"": ""Point"", ""coordinates"": [32.8866, 2.08598]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Maracha District","Alikua Subcounty","","nnMNaAsaQSq","""""","","","",""
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Ali Medical Services HC II","eOEURVD1JBA","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Pader District","Lapul Subcounty","Alim HC II","SFDIr8urO72","{""type"": ""Point"", ""coordinates"": [32.95704, 2.86428]}","Functional","HC II","GOV","MOH"
"Western Region","Bunyoro","Masindi District","Pakanyi Subcounty","Alimugonza HC II","Gohyg1mIhi6","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Makindye Division","Alinda Orthopaedic Clinic HC II","D0ED1fGVzaL","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","Lango","Oyam District","Iceme Subcounty","Alira HC II","kJRTTFJR9io","{""type"": ""Point"", ""coordinates"": [32.68246, 2.4589]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Rubaga Division","Alison Medical Center HC II","yjOK1KW77KI","""""","Functional","HC II","PFP","Private"
"Eastern Region","Teso","Kapelebyong District","Obalanga Subcounty","Alito HC II","R95ybrwz0Fz","{""type"": ""Point"", ""coordinates"": [33.56809, 2.29369]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kole District","Alito Subcounty","Alito HC III","avAlXE2E7Re","{""type"": ""Point"", ""coordinates"": [32.85962, 2.44245]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Kole District","Alito Subcounty","Alito Medical Clinic","gT0WEPksBPT","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Alive Medical Services Special Clinic","PHhcBpjIWvL","{""type"": ""Point"", ""coordinates"": [32.61026, 0.30972]}","Functional","","PNFP","CAF"
"Northern Region","Lango","Otuke District","Alango Subcounty","Aliwang HC III","L4ABgSqNsXd","{""type"": ""Point"", ""coordinates"": [33.28265, 2.42806]}","Functional","HC III","PNFP","UCMB"
"Northern Region","West Nile","Adjumani District","Itirikwa Subcounty","Aliwara HC II","UBVFS5BQ6Jx","{""type"": ""Point"", ""coordinates"": [31.82297, 3.15799]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Bweyogerere Division","Allah Is Great Clinic","ahbNLFWERyW","""""","","","PFP","Private"
"Central Region","North Central","Mukono District","Central Division (Mukono MC)","Allan Galpin HC II","loCSrOrEQG5","""""","Functional","HC II","PNFP","UPMB"
"Western Region","Tooro","Kyegegwa District","Ruyonza Subcounty","Allelua G HC II","VBjI4Hefwrl","""""","Functional","","",""
"Western Region","Tooro","Kasese District","Nyamwamba Division","Alleluah Med.  Centre HC III","rUHkBmAX6tC","""""","Functional","HC III","PFP","Private"
"Central Region","South Central","Lyantonde District","Lyantonde Town Council","Allena Domiciliary Clinic","VUmBPzyyuRr","{""type"": ""Point"", ""coordinates"": [31.15123, -0.40978]}","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Allied Consultancy Clinic HC II","pGUsTQX3LCX","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Allied Family Medical Clinic HC II","r0h1mc0BAnA","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Bugiri District","Eastern Division (Bugiri MC)","Allied General Medical Clinic","BWfUtnoSv0P","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Allied Health Clinic HC II","PPpjhuUetye","""""","Non-Functional","HC II","PFP","Private"
"Western Region","Ankole","Ntungamo District","Rwamabondo Town Council","Allied Heath Proffessionals","UGeQEBwyWhV","""""","Functional","","PNFP","UCBHCA"
"Central Region","Kampala","Kampala District","Nakawa Division","Allied Life Care Clinic HC II","GySPLd4p8tG","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Kibuku District","Goli Goli Subcounty","All Saints Buchanagandi HC III","fKvVQoaVcjz","{""type"": ""Point"", ""coordinates"": [33.86011, 1.14031]}","Functional","HC III","PNFP","NGO"
"Central Region","Kampala","Kampala District","Makindye Division","All Saints Clinic - Makindye","BESDJaRcNYw","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Masaka District","Nyendo-Senyange Division","All Saints Clinic (Nyendo-Senyange) HC II","DId8gDG2h83","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","All Saints Medical. Center HC II","YSNmhYkEioY","""""","Non-Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Allsaints Medical Centre HC II","XSmIsJuGcOB","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","Acholi","Pader District","Puranga Subcounty","All Saints Puranga HC II","M2Es7QYNu3D","{""type"": ""Point"", ""coordinates"": [32.94147, 2.61919]}","Functional","HC II","PNFP","UCMB"
"Eastern Region","Teso","Kumi District","Ongino Subcounty","Almata Medical Services HC II","MIN2B4ZQAsI","""""","Non-Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Jinja District","Mafubira Subcounty","Almeca Medicare Hospital","sWiFANJNsQo","""""","Functional","Hospital","PNFP","CBO"
"Northern Region","West Nile","Yumbe District","Kochi Subcounty","Alnoor HC II","A4g2J49bMOr","{""type"": ""Point"", ""coordinates"": [31.2548, 3.54013]}","Functional","HC II","PNFP","UMMB"
"Northern Region","Lango","Alebtong District","Akura Subcounty","Aloi Mission HC III","q2vSqN5xoZL","{""type"": ""Point"", ""coordinates"": [33.13966, 2.26562]}","Functional","HC III","PNFP","UCMB"
"Northern Region","Acholi","Omoro District","Ongako Subcounty","Alokolum HC II","YLwAhOTWHrQ","{""type"": ""Point"", ""coordinates"": [32.22689, 2.7586]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Iceme Subcounty","Aloni HC II","k0CvH2xB5Lg","""""","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Agago District","Adilang Subcounty","Alop HC II","pUeR6j03GhJ","{""type"": ""Point"", ""coordinates"": [33.44938, 2.67135]}","Functional","HC II","GOV","MOH"
